uid,gender,dob,user_age,survey_completed_at,YxZ6vHaWrjiZeuWh7u6f,4VkmpYHERksTAILQTTJK,bdBAzKDJf4fRFayyKVUv,9ZR7eWvLbWr74kHO72U8,Qdgvx8TLWNazLO6ZGuoP,HIEOGzWayi3OTZVed5S1,lJvzoqdgZxXyxOKQnlo6,DgFsclpb4ikv44YWa11a,KvIEjTzERWFzurF0UKXp,v7CDeDZbxdwxYSAR0d9X,lx7K6NXFzkjKwPPyhYJB,L0Vkyg6X7xTiRzkwlUwz
9A4782B9-6F30-4FCC-9214-2931A12ADFB9,M,1951-12-06 00:00:00 UTC,75,2026-07-27 10:09:30 UTC,Tienda online,"2,00–2,49 €",7,Es ligeramente mejor,No he consumido ninguno de los anteriores,,8,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,Los había comprado alguna vez,,Compradores potenciales
50236cc8-5fd6-48d9-a1e0-464946c884c0,M,2003-09-18 22:00:00 UTC,23,2026-07-22 15:17:40 UTC,Super/hipermercado,"Menos de 1,50 €",10,Es muy superior,Chocolate,,10,La calidad y el sabor del chocolate con leche exterior,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
fa6da48f-b8ca-4b0b-a631-016e882024e8,F,2000-10-18 00:00:00 UTC,26,2026-07-28 17:20:13 UTC,Tienda online,"1,50–1,99 €",10,Es ligeramente mejor,Confitería / dulces / bollería,,10,No me ha convencido especialmente,Para ofrecer en casa a los invitados en una ocasión especial,No lo conocía,,Compradores potenciales
2965fef8-5c1a-45b9-8fe9-54655af35331,NA,1968-08-05 22:00:00 UTC,58,2026-07-20 16:52:15 UTC,,,,Es ligeramente mejor,Chocolate,,,La cremosidad y sedosidad de la crema de pistacho,,No lo conocía,,
4e7c1677-b707-4751-a493-4fcd6c1cc55a,M,2005-04-21 22:00:00 UTC,21,2026-07-27 18:00:00 UTC,Tienda online,"1,50–1,99 €",8,Es muy superior,Helado,"no me acuerdo
",9,Otro,Como un capricho personal para consumir de forma individual en el momento,Los había comprado alguna vez,,Compradores potenciales
1C055C97-E7DE-4899-B90D-C55E09B810B5,F,2007-09-11 00:00:00 UTC,19,2026-07-21 11:56:40 UTC,Tiendas gourmet,"1,50–1,99 €",4,Es muy superior,Chocolate,,9,La calidad y el sabor del chocolate con leche exterior,Para regalar como un detalle elegante o gourmet a alguien especial,Soy compradora/o habitual,,Compradores potenciales
a1879390-8261-4b3e-8bb6-03593fbeffc5,NA,1992-05-17 22:00:00 UTC,34,2026-07-25 08:38:53 UTC,Super/hipermercado,"Menos de 1,50 €",9,Es ligeramente mejor,Helado,,9,La calidad y el sabor del chocolate con leche exterior,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
c7e69210-e80f-4b6f-81c4-6172ea47a7a6,NA,1976-05-11 22:00:00 UTC,50,2026-07-21 20:42:47 UTC,Super/hipermercado,"1,50–1,99 €",10,Es muy superior,Chocolate,,10,La calidad y el sabor del chocolate con leche exterior,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
6f713a6d-a518-45b9-ba34-ee1fb7ae2794,NA,1970-03-03 23:00:00 UTC,56,2026-07-24 11:37:58 UTC,Super/hipermercado,"2,00–2,49 €",9,Es igual que otros chocolates con pistacho que he probado,Chocolate,,8,La calidad y el sabor del chocolate con leche exterior,Como un capricho personal para consumir de forma individual en el momento,Los había comprado alguna vez,,Compradores potenciales
b9b4e8e4-3834-477e-acc2-b935bd19d9aa,F,1958-11-09 23:00:00 UTC,68,2026-07-22 13:19:44 UTC,Super/hipermercado,"2,00–2,49 €",8,Es ligeramente mejor,Helado,,10,El equilibrio perfecto entre el relleno cremoso y el interior crujiente,Para regalar como un detalle elegante o gourmet a alguien especial,Los había comprado alguna vez,,Compradores potenciales
6c38878e-c7b9-42a1-a5d5-8a0d24594b68,M,1953-03-28 00:00:00 UTC,73,2026-07-23 09:32:33 UTC,Super/hipermercado,"Menos de 1,50 €",8,Es ligeramente mejor,Helado,,8,La calidad y el sabor del chocolate con leche exterior,Para ofrecer en casa a los invitados en una ocasión especial,"Sí lo conocía, pero no los había probado",,Compradores potenciales
94488E7F-5DDF-4CCF-8348-07E07C12265B,NA,1982-05-06 22:00:00 UTC,44,2026-07-20 18:57:45 UTC,Super/hipermercado,"1,50–1,99 €",9,Es muy superior,Helado,,10,La calidad y el sabor del chocolate con leche exterior,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
ce2078d7-4fd2-4c1e-a2b9-d5dc701c58d6,NA,1962-04-21 22:00:00 UTC,64,2026-07-24 20:01:53 UTC,Super/hipermercado,"1,50–1,99 €",10,Es de menor calidad,Helado,,10,La calidad y el sabor del chocolate con leche exterior,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
bd4df934-921f-4ed5-a550-b817277b0d4f,M,1961-03-10 00:00:00 UTC,65,2026-07-19 06:26:59 UTC,Super/hipermercado,"Menos de 1,50 €",9,Es ligeramente mejor,Helado,,9,La calidad y el sabor del chocolate con leche exterior,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
586a7d59-4675-4c0a-b092-1d1f55f5262e,M,1953-08-28 00:00:00 UTC,73,2026-07-24 09:30:20 UTC,Tienda de conveniencia,"1,50–1,99 €",9,Es ligeramente mejor,Turrón,,9,La calidad y el sabor del chocolate con leche exterior,Como un capricho personal para consumir de forma individual en el momento,"Sí lo conocía, pero no los había probado",,Compradores potenciales
4c618fab-fd48-4f49-a891-b39af64111b9,F,2000-06-17 00:00:00 UTC,26,2026-07-21 09:16:52 UTC,Super/hipermercado,"Menos de 1,50 €",10,Es muy superior,Chocolate,,10,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
32c7c3de-ffc6-4fdf-b1af-ce371df203a7,F,1962-07-12 00:00:00 UTC,64,2026-07-25 10:07:10 UTC,Super/hipermercado,"1,50–1,99 €",9,Es ligeramente mejor,Chocolate,,9,La calidad y el sabor del chocolate con leche exterior,Como un capricho personal para consumir de forma individual en el momento,"Sí lo conocía, pero no los había probado",,Compradores potenciales
765AEF5C-1A20-4F5C-B92A-8611FF1A1E16,F,1978-04-07 00:00:00 UTC,48,2026-07-24 18:31:12 UTC,Super/hipermercado,"Menos de 1,50 €",10,No he probado otros chocolates con pistacho anteriormente,Helado,,9,El equilibrio perfecto entre el relleno cremoso y el interior crujiente,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
ED6481A2-5E9C-44C3-A032-22B772A62FB9,F,2008-05-19 22:00:00 UTC,18,2026-07-15 19:23:29 UTC,Tienda online,"2,00–2,49 €",9,Es de mucho menor calidad,Helado,,4,El equilibrio perfecto entre el relleno cremoso y el interior crujiente,Para ofrecer en casa a los invitados en una ocasión especial,Soy compradora/o habitual,,Compradores potenciales
48ee682c-4bed-42f8-a7a6-5c806e54d0be,M,1976-12-26 23:00:00 UTC,50,2026-07-26 09:26:40 UTC,Super/hipermercado,"1,50–1,99 €",9,Es muy superior,Turrón,,9,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
b62aa510-a6ed-41f1-84f5-c6870f4657e8,F,1990-03-21 23:00:00 UTC,36,2026-07-22 16:19:48 UTC,Super/hipermercado,"1,50–1,99 €",9,Es igual que otros chocolates con pistacho que he probado,Turrón,,10,La cremosidad y sedosidad de la crema de pistacho,Para regalar como un detalle elegante o gourmet a alguien especial,No lo conocía,,Compradores potenciales
6ad2732a-15b2-46c0-858e-fb4a4eeda8f3,M,1958-07-18 00:00:00 UTC,68,2026-07-23 10:07:43 UTC,Tiendas gourmet,"1,50–1,99 €",8,Es ligeramente mejor,Helado,,8,La cremosidad y sedosidad de la crema de pistacho,Para regalar como un detalle elegante o gourmet a alguien especial,Los había comprado alguna vez,,Compradores potenciales
8d911f30-1e18-49ed-b5dc-bf8ad7cd6365,F,1978-07-21 00:00:00 UTC,48,2026-07-17 15:30:26 UTC,Super/hipermercado,"1,50–1,99 €",10,Es muy superior,Helado,,10,La cremosidad y sedosidad de la crema de pistacho,Para regalar como un detalle elegante o gourmet a alguien especial,No lo conocía,,Compradores potenciales
22F42167-9891-4E84-B2C8-24E15C09FD07,F,1994-08-17 00:00:00 UTC,32,,,,,,Chocolate,,,La cremosidad y sedosidad de la crema de pistacho,,No lo conocía,,
24C58997-522F-4A12-88DF-BB4CDAD3E403,F,1964-03-10 23:00:00 UTC,62,2026-07-19 16:18:29 UTC,Super/hipermercado,"2,00–2,49 €",10,Es ligeramente mejor,Chocolate,,10,La calidad y el sabor del chocolate con leche exterior,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
64794780-c5de-4bf5-90c8-54242db3d0fb,F,1976-11-30 00:00:00 UTC,50,2026-07-26 12:28:09 UTC,Super/hipermercado,"Menos de 1,50 €",10,Es muy superior,Helado,,10,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,Los había comprado alguna vez,,Compradores potenciales
baf5bddc-2ebf-4ff7-843e-f5b971a300c7,F,1994-06-13 00:00:00 UTC,32,2026-07-24 13:15:27 UTC,Super/hipermercado,"Menos de 1,50 €",9,Es muy superior,Crema para untar,,10,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
455f370b-253f-4f09-8fab-3b25bf63c4af,NA,1969-05-03 22:00:00 UTC,57,2026-07-22 12:27:15 UTC,Super/hipermercado,"1,50–1,99 €",10,No he probado otros chocolates con pistacho anteriormente,No he consumido ninguno de los anteriores,,10,El equilibrio perfecto entre el relleno cremoso y el interior crujiente,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
5bfbab7b-735b-4b3d-9e15-b014ca28f464,NA,1998-12-31 23:00:00 UTC,28,2026-07-19 21:26:18 UTC,Super/hipermercado,"Menos de 1,50 €",1,Es muy superior,Chocolate,,1,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,Los había comprado alguna vez,,Compradores potenciales
99290adf-509d-412e-b435-5db55cd748f3,NA,1982-02-10 23:00:00 UTC,44,,Tiendas gourmet,"2,00–2,49 €",1,Es ligeramente mejor,Crema para untar,,1,El equilibrio perfecto entre el relleno cremoso y el interior crujiente,Para regalar como un detalle elegante o gourmet a alguien especial,Los había comprado alguna vez,,Compradores potenciales
7a142b3f-9580-4973-bf6e-cf1df5d8b274,NA,1976-06-26 22:00:00 UTC,50,2026-07-22 07:06:40 UTC,Super/hipermercado,"1,50–1,99 €",8,Es ligeramente mejor,Helado,,8,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,Los había comprado alguna vez,,Compradores potenciales
bc9597c5-5e5d-4d82-9976-949c7678a0ed,F,1959-01-31 23:00:00 UTC,67,2026-07-27 18:33:55 UTC,Super/hipermercado,"Menos de 1,50 €",9,Es ligeramente mejor,Chocolate,,9,El equilibrio perfecto entre el relleno cremoso y el interior crujiente,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
ef2026e9-df9f-4fdf-9826-ad4b4cb2ec20,F,1956-08-11 22:00:00 UTC,70,2026-07-19 15:57:40 UTC,Tienda de conveniencia,"1,50–1,99 €",6,No he probado otros chocolates con pistacho anteriormente,Helado,,6,El equilibrio perfecto entre el relleno cremoso y el interior crujiente,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
8e249680-f6e1-4857-8e4e-2be35f422d81,M,1989-03-25 00:00:00 UTC,37,,Tiendas gourmet,"Menos de 1,50 €",8,Es muy superior,Helado,,9,La cremosidad y sedosidad de la crema de pistacho,Para regalar como un detalle elegante o gourmet a alguien especial,Los había comprado alguna vez,,Compradores potenciales
2BB4B58F-4083-4F6D-8919-A1EF56DDE7AD,M,1992-05-19 00:00:00 UTC,34,2026-07-26 14:14:40 UTC,Super/hipermercado,"Menos de 1,50 €",7,Es de menor calidad,No he consumido ninguno de los anteriores,,4,La calidad y el sabor del chocolate con leche exterior,Para regalar como un detalle elegante o gourmet a alguien especial,Los había comprado alguna vez,,Compradores potenciales
9f255460-ccc2-4977-94f0-bb8c4b957f29,F,2002-01-05 00:00:00 UTC,24,2026-07-28 18:38:26 UTC,Super/hipermercado,"Menos de 1,50 €",8,No he probado otros chocolates con pistacho anteriormente,Chocolate,Nestle,8,Otro,Para regalar como un detalle elegante o gourmet a alguien especial,No lo conocía,,Compradores potenciales
5a2f7d30-3dad-4d32-8caf-41d20b35aafc,NA,2004-11-05 23:00:00 UTC,22,2026-07-17 14:50:38 UTC,Super/hipermercado,"Menos de 1,50 €",10,Es muy superior,Helado,,10,No me ha convencido especialmente,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
B84DF2A6-7ADC-4729-86CB-1F2769662073,F,1994-12-01 00:00:00 UTC,32,2026-07-21 07:25:42 UTC,Super/hipermercado,"Menos de 1,50 €",10,Es muy superior,Helado,,10,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
47C496A6-81A0-4B8E-AEB6-FAFC450ED1BD,F,1979-01-05 23:00:00 UTC,47,2026-07-17 13:36:36 UTC,Super/hipermercado,"1,50–1,99 €",9,Es ligeramente mejor,Helado,,6,El equilibrio perfecto entre el relleno cremoso y el interior crujiente,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
c9e09f09-f86a-4595-9bbc-e3a8bf9d687e,M,1964-03-21 00:00:00 UTC,62,2026-07-29 13:57:51 UTC,Super/hipermercado,"1,50–1,99 €",10,Es ligeramente mejor,Helado,,10,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,Soy compradora/o habitual,,Compradores potenciales
e20c5efe-351a-4460-992c-46c3cc5fbc3d,NA,1999-11-23 23:00:00 UTC,27,2026-07-29 14:20:13 UTC,Tienda de conveniencia,"2,00–2,49 €",10,Es muy superior,Turrón,Chocolate,10,Otro,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
8c80ee67-5634-426a-bcab-a54cdb6a2e03,M,1949-05-01 00:00:00 UTC,77,2026-07-23 09:52:42 UTC,Super/hipermercado,"Menos de 1,50 €",10,Es muy superior,Helado,,10,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
4776db97-6ef6-4027-9d96-f7623013c56d,F,1920-12-19 00:00:00 UTC,66,2026-07-24 17:39:20 UTC,Super/hipermercado,"Menos de 1,50 €",10,Es muy superior,Helado,,10,La cremosidad y sedosidad de la crema de pistacho,Solo para comprarlo en ocasiones especiales o cuando esté en promoción,Los había comprado alguna vez,,Compradores potenciales
176c65e3-f7eb-4307-90db-7414caac6bd4,F,1997-02-03 23:00:00 UTC,29,2026-07-15 13:06:44 UTC,Super/hipermercado,"Menos de 1,50 €",9,Es ligeramente mejor,Turrón,,9,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,Los había comprado alguna vez,,Compradores potenciales
012fa8df-06f4-4900-b19b-6cbb1a0f6d73,M,1968-11-16 23:00:00 UTC,58,2026-07-29 18:39:56 UTC,Tienda de conveniencia,"Menos de 1,50 €",10,Es muy superior,Helado,,10,La cremosidad y sedosidad de la crema de pistacho,Para regalar como un detalle elegante o gourmet a alguien especial,Los había comprado alguna vez,,Compradores potenciales
7101e6fa-1c01-4534-9a29-bb2f9eff1551,M,1999-10-07 22:00:00 UTC,27,,Super/hipermercado,"Menos de 1,50 €",5,Es muy superior,No he consumido ninguno de los anteriores,,5,No me ha convencido especialmente,Para regalar como un detalle elegante o gourmet a alguien especial,No lo conocía,,Compradores potenciales
86bdb908-f74e-4160-90fe-ba1432ca83c4,NA,1981-09-02 22:00:00 UTC,45,,Super/hipermercado,"Menos de 1,50 €",10,Es muy superior,Helado,,10,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,Los había comprado alguna vez,,Compradores potenciales
a2583276-d901-4cdf-89d5-063aaf5dda5c,,,,2026-07-16 10:53:06 UTC,Tienda online,"1,50–1,99 €",10,Es muy superior,Chocolate,,10,La calidad y el sabor del chocolate con leche exterior,Para regalar como un detalle elegante o gourmet a alguien especial,Soy compradora/o habitual,,Compradores potenciales
b39f8a08-a612-46a3-9e6a-a6dd7ae94052,M,1997-09-24 22:00:00 UTC,29,2026-07-24 18:00:21 UTC,Super/hipermercado,"Menos de 1,50 €",10,Es muy superior,Helado,,10,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,Los había comprado alguna vez,,Compradores potenciales
8c832c00-63ea-404d-bbcf-554686bcbad6,M,1993-01-21 23:00:00 UTC,33,,Super/hipermercado,"Menos de 1,50 €",10,Es muy superior,Helado,,10,La cremosidad y sedosidad de la crema de pistacho,Para regalar como un detalle elegante o gourmet a alguien especial,Los había comprado alguna vez,,Compradores potenciales
fff98891-e078-487e-85dc-f9850d9b9786,M,1980-07-17 00:00:00 UTC,46,2026-07-26 11:08:56 UTC,Tiendas gourmet,"2,50–2,99 €",5,Es de mucho menor calidad,Crema para untar,,9,La calidad y el sabor del chocolate con leche exterior,Para regalar como un detalle elegante o gourmet a alguien especial,"Sí lo conocía, pero no los había probado",,Compradores potenciales
2b76f192-2823-4cad-b733-bcc4fd849f50,F,1990-02-17 23:00:00 UTC,36,2026-07-17 20:50:52 UTC,Super/hipermercado,"1,50–1,99 €",10,Es muy superior,Chocolate,,10,La calidad y el sabor del chocolate con leche exterior,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
e0f02ba6-4546-4cdc-88f2-48d1d1c18376,NA,1973-11-22 23:00:00 UTC,53,2026-07-19 16:48:14 UTC,Super/hipermercado,"Menos de 1,50 €",10,Es muy superior,Turrón,,10,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
b0362725-f8a3-4a38-b458-35eaacdd2aaa,F,1960-01-31 00:00:00 UTC,66,2026-07-22 12:15:04 UTC,Super/hipermercado,"1,50–1,99 €",9,Es ligeramente mejor,Barras energéticas,,1,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,"Sí lo conocía, pero no los había probado",,Compradores potenciales
fdb68b4f-acf8-4dc1-8ef0-6f7762c282dd,F,1973-12-12 23:00:00 UTC,53,2026-07-26 15:44:58 UTC,Super/hipermercado,"1,50–1,99 €",7,Es ligeramente mejor,Helado,,8,La cremosidad y sedosidad de la crema de pistacho,Para regalar como un detalle elegante o gourmet a alguien especial,No lo conocía,,Compradores potenciales
b145f875-74f6-477d-bd41-6fda3345a2cc,F,1971-01-16 00:00:00 UTC,55,,,,,,Turrón,,,,,,,
b001ff5c-f35a-4b91-9cdc-feba88b3d76e,M,1952-12-25 00:00:00 UTC,74,2026-07-23 10:45:45 UTC,Super/hipermercado,"1,50–1,99 €",8,Es ligeramente mejor,Helado,,8,La calidad y el sabor del chocolate con leche exterior,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
57a8ed54-5188-4295-b653-5ada03e640db,M,1972-02-14 00:00:00 UTC,54,2026-07-19 20:18:30 UTC,Tiendas gourmet,"Menos de 1,50 €",3,Es muy superior,Helado,,3,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,Los había comprado alguna vez,,Compradores potenciales
1223c38c-7679-402a-bb4e-4d7583e6794d,M,2001-07-27 22:00:00 UTC,25,2026-07-27 08:57:36 UTC,Super/hipermercado,"Menos de 1,50 €",10,Es muy superior,Helado,,10,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,Los había comprado alguna vez,,Compradores potenciales
